text,label,length
あの盗賊ども 近くに 仲間が たくさんいるはずだよ,0,25
あっちい！ 何すんだよ こんにゃろう！,0,19
俺は あんたらのために言ってるんだぜ,0,18
取りつかれてるんだよ 俺は… 悪霊に,0,18
フッ… そりゃ難儀だな,0,11
すぐ始末つけてやるぜ,0,10
それにしても もうちょっと まともな集合場所なかったのかよ？,0,30
ああ？ 知ってるか？ お前ら,0,14
ただでさえ 何か出そうな所なんだからよ,0,19
化け物が出るってウワサもあるぜ この森にゃ,0,21
死体なんぞ その辺にゴロゴロしてるぜ,0,18
んだよ？ 俺のほうが先に乗ったんだからな,0,20
温まりますよ,1,6
夜はな いろいろとヤバイんだよ,0,15
あの… 戦の傷ですか？ かみつかれたのさ 悪霊に,1,24
チッ… これだから坊さんはイヤなんだ,0,18
幸せ者だぜ そいつは,0,10
悪いが 少し寝かせてもらうぜ,0,14
あっ… 風邪ひきますから,1,12
悪霊って… それじゃ お前さんが言ってたことは…,0,24
夢魔は 人間の死体から生まれる この辺りは 古い戦場なんだろう？,0,32
悪霊は 死体に取りついて襲ってくるんだよ,0,20
夢魔が出るってことは もっと ヤバイやつもいるかもしれねえ,0,29
文句言うな １人相手に これでも十分すぎるぜ,0,22
何か様子が変だぜ ああ？,0,12
おい お前らやったってのは あい…,0,17
フフフフッ… ああ そうさ そのとおりだぜ,0,21
ムダだよ 逃げられないよ,0,12
いつまでも お前の周りに…,0,13
逃げられないよ いつまでも見ているぜ,0,18
お前は俺のものだ 私たちのものだ,0,16
心臓だよ,0,4
どこにいようと… お前は私たちのもの,0,18
お前の怒りも 悲しみも 黙れ…,0,15
お前の恐怖も,0,6
